Year of Project,Functional Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR (afp),Defect Density,Speed of Delivery,Project Elapsed Time,Effort Unphased,Total Defects Delivered,Resource Level,Max Team Size,Input count,Added count,Count_Approach_COSMIC,Count_Approach_IFPUG,Count_Approach_NESMA,Count_Approach_OTHER,Development_Type_Enhancement,Development_Type_New Development,Development_Type_Re-development,Architecture_Client server,Architecture_Multi-tier,Architecture_Stand alone,Functional_Size_Technique_Other,Functional_Size_Technique_Supported by a tool,Functional_Size_Technique_Wholly manual,FP_Standard_All_COSMIC,FP_Standard_All_IFPUG,FP_Standard_All_Other,FP_Standard_All_COSMIC.1,FP_Standard_All_IFPUG.1,FP_Standard_All_Other.1,Language_Type_1GL,Language_Type_3GL,Language_Type_4GL,Client_Server_Used,Development_Platform_MF,Development_Platform_MR,Development_Platform_Multi,Development_Platform_PC,Case_Tool_Used_Yes,How_Methodology_Acquired_Combined Developed/Purchased,How_Methodology_Acquired_Developed Inhouse,How_Methodology_Acquired_Traditional,Used_Methodology_Yes
1997.0,1239,1177.0,0.95,5316.463277000001,11514,11514,15.99293785,9.3,9.8,3.2,10.42982107,4.0,2853.3091719999998,4,4,9.761262136000001,54.0,1239.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
2003.0,113,113.0,1.0,6710.0,6710,6710,59.4,59.4,59.4,0.0,1.2,12.0,6710.0,0,1,8.0,42.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
2006.0,615,738.0,1.2,2786.0,2786,2786,4.5,4.5,3.8,4.9,5.9,7.0,0.0,3,1,15.0,269.0,615.0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
2000.0,171,171.0,1.021941545,1537.0,2402,1537,9.0,14.0,9.0,5.8,10.42982107,3.0,1537.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1999.0,114,128.0,1.12,1860.0,1860,1860,16.3,16.3,14.5,0.0,10.42982107,6.0,1860.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
1998.0,221,221.0,1.0,624.0,843,624,2.8,3.8,2.8,285.1,24.6,3.0,1.0,63,1,3.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
1999.0,1606,1606.0,1.0,17230.0,17230,17230,10.7,10.7,10.7,2.5,7.2,7.0,10506.0,4,1,32.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
2000.0,91,91.0,1.021941545,474.0,741,474,5.2,8.1,5.2,44.0,10.42982107,1.0,474.0,4,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
2004.0,71,89.0,1.25,2161.0,2221,2221,30.4,31.3,25.0,0.0,10.42982107,5.0,0.0,0,4,9.761262136000001,30.0,19.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1994.0,135,119.0,0.88,700.0,700,700,5.2,5.2,5.9,37.0,10.42982107,8.957260274,700.0,5,1,9.761262136000001,41.0,135.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
1996.0,184,202.0,1.1,2752.0,2752,2752,15.0,15.0,13.6,81.5,7.5,3.5,0.0,15,1,7.0,52.0,22.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1
2000.0,303,303.0,1.021941545,2224.0,3475,2224,7.3,11.5,7.3,16.5,10.42982107,4.0,2224.0,5,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
1993.0,292,283.0,0.97,5650.0,5650,5650,19.3,19.3,20.0,10.3,10.42982107,13.0,5650.0,3,1,9.761262136000001,20.0,292.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
2004.0,334,334.0,1.021941545,2648.0,2648,2648,7.9,7.9,7.9,47.9,4.6,9.0,2648.0,16,1,8.0,171.0,255.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
2005.0,1670,1670.0,1.021941545,5906.0,10206,10206,3.5,6.1,6.1,1.8,4.6,19.0,5906.0,3,4,19.0,1670.0,1670.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1
2004.0,4,4.0,1.021941545,24.0,24,24,6.0,6.0,6.0,0.0,10.42982107,0.3,24.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
2000.0,160,160.0,1.021941545,1216.0,1900,1216,7.6,11.9,7.6,31.3,10.42982107,6.0,1216.0,5,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1998.0,615,713.0,1.16,4396.0,4396,3253,7.1,7.1,4.6,14.6,10.42982107,6.9,3253.0,9,1,9.761262136000001,137.0,220.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1
2004.0,72,72.0,1.021941545,418.0,418,418,5.8,5.8,5.8,27.8,10.42982107,2.1,418.0,2,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1996.0,644,799.0,1.24,4500.0,4839,4500,7.0,7.5,5.6,48.1,11.7,11.0,0.0,31,1,5.0,300.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2005.0,184,201.0,1.09,1830.0,1830,1830,9.9,9.9,9.1,0.0,8.5,3.6,1830.0,0,1,6.0,81.0,86.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1993.0,575,610.0,1.06,950.0,950,950,1.7,1.7,1.6,5.2,63.9,3.0,950.0,3,1,3.0,137.0,575.0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
2004.0,13,13.0,1.021941545,146.0,146,146,11.2,11.2,11.2,0.0,10.42982107,0.8,146.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
2005.0,268,322.0,1.2,4915.0,4915,3981,18.3,18.3,12.4,3.7,10.42982107,17.0,0.0,1,1,9.761262136000001,128.0,121.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1998.0,41,48.0,1.16,367.0,408,367,9.0,10.0,7.6,0.0,8.2,1.0,147.0,0,1,5.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1998.0,39,39.0,1.0,823.0,823,823,21.1,21.1,21.1,153.8,6.5,2.0,14.0,6,1,3.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
2004.0,160,160.0,1.021941545,1136.0,1136,1136,7.1,7.1,7.1,37.5,10.42982107,7.2,1136.0,6,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1999.0,9,9.0,1.0,2947.0,2947,2947,327.4,327.4,327.4,1111.1,10.42982107,7.0,226.0,10,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
2000.0,777,855.0,1.1,6726.0,27091,27091,8.7,34.9,31.7,0.0,1.7,12.0,6726.0,0,4,38.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
1999.0,2521,2824.0,1.12,57156.0,57156,57156,22.7,22.7,20.2,0.0,10.42982107,12.0,57156.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
1996.0,158,150.0,0.95,942.0,1177,1177,6.0,7.4,7.8,31.6,10.42982107,7.0,942.0,5,4,9.761262136000001,66.0,158.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2005.0,1018,1018.0,1.0,60826.0,60826,60826,59.8,59.8,59.8,15.7,10.42982107,20.0,60826.0,16,1,9.761262136000001,381.0,1018.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2006.0,34,39.0,1.16,1875.0,1875,1706,55.1,55.1,43.7,147.1,0.5,12.0,0.0,5,1,6.0,12.0,34.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1
1996.0,119,96.0,0.81,3197.0,4530,1223,26.9,38.1,12.7,25.2,10.42982107,8.0,0.0,3,2,9.761262136000001,13.0,119.0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2000.0,34,34.0,1.021941545,954.0,1491,954,28.1,43.9,28.1,0.0,10.42982107,2.0,954.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
2004.0,208,208.0,1.021941545,3482.0,3482,3482,16.7,16.7,16.7,24.0,3.3,8.0,3482.0,5,1,8.0,107.0,205.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2006.0,751,751.0,1.0,3114.0,3114,3114,4.1,4.1,4.1,36.0,0.9,84.0,241.0,27,1,10.0,0.0,751.0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
1998.0,119,126.0,1.06,2660.0,2956,2660,22.4,24.8,21.1,8.4,2.4,10.0,2580.0,1,1,5.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2001.0,367,356.0,0.97,740.0,9309,7168,2.0,25.4,20.1,0.0,3.7,5.0,740.0,0,4,20.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
2006.0,48,58.0,1.2,1137.0,1137,1057,23.7,23.7,18.2,0.0,10.42982107,5.0,0.0,0,1,9.761262136000001,26.0,44.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
2004.0,3088,3088.0,1.021941545,4266.0,4266,4266,1.4,1.4,1.4,2.9,10.42982107,8.0,4266.0,9,1,9.761262136000001,1061.0,544.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
1994.0,100,82.0,0.82,440.0,440,440,4.4,4.4,5.4,30.0,33.3,3.0,440.0,3,1,1.0,25.0,100.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2000.0,1387,1387.0,1.021941545,7491.0,11705,7491,5.4,8.4,5.4,33.9,10.42982107,12.0,7491.0,47,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
2004.0,44,44.0,1.021941545,317.0,317,317,7.2,7.2,7.2,22.7,10.42982107,1.3,317.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
2005.0,272,326.0,1.2,3347.0,3347,3347,12.3,12.3,10.3,3.7,10.42982107,13.0,0.0,1,1,9.761262136000001,172.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
2003.0,492,492.0,1.021941545,13912.0,13912,13912,28.3,28.3,28.3,6.1,5.8,12.2,13912.0,3,1,7.0,166.04545,492.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
2005.0,57,68.0,1.2,1810.0,1810,1810,31.8,31.8,26.6,87.7,10.42982107,7.0,0.0,5,1,9.761262136000001,40.0,14.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1993.0,805,826.0,1.03,11045.0,11045,11045,13.7,13.7,13.4,22.4,8.8,13.0,11045.0,18,1,7.0,292.0,396.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
2008.0,235,235.0,1.0,5548.0,5548,5548,23.6,23.6,23.6,59.6,1.5,16.0,5548.0,14,1,10.0,116.0,111.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2004.0,78,78.0,1.021941545,484.0,484,484,6.2,6.2,6.2,12.8,10.42982107,3.0,484.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
2002.0,255,265.0,1.04,14040.0,14040,14040,55.1,55.1,53.0,0.0,1.0,13.0,5383.0,0,1,20.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
1999.0,72,58.0,0.81,381.0,423,381,5.3,5.9,6.6,0.0,12.0,2.0,278.0,0,1,3.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2008.0,610,610.0,1.021941545,5329.0,5329,5329,8.7,8.7,8.7,24.6,4.8,16.0,5329.0,15,1,8.0,116.0,610.0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
1996.0,381,339.0,0.89,5316.463277000001,1723,1723,15.99293785,4.5,5.1,2.6,10.42982107,8.957260274,2853.3091719999998,1,4,9.761262136000001,120.0,176.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
2005.0,430,430.0,1.021941545,2891.0,2891,2891,6.7,6.7,6.7,0.0,7.8,11.0,2891.0,0,1,5.0,181.0,430.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2005.0,827,827.0,1.0,1593.0,1593,1593,1.9,1.9,1.9,3.6,20.7,8.0,1593.0,3,1,5.0,405.0,60.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
2005.0,41,49.0,1.2,658.0,658,658,16.0,16.0,13.4,0.0,10.42982107,6.0,0.0,0,1,9.761262136000001,12.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
2003.0,494,494.0,1.021941545,8706.0,8706,8706,17.6,17.6,17.6,0.0,1.7,21.0,8706.0,0,1,14.0,134.0,494.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
2001.0,79,79.0,1.021941545,388.0,408,408,4.9,5.2,5.2,75.9,10.42982107,3.0,0.0,6,4,9.761262136000001,79.0,79.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1
2005.0,264,264.0,1.021941545,1698.0,2580,2580,6.4,9.8,9.8,0.0,9.7,3.4,2853.3091719999998,0,4,8.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
2004.0,103,103.0,1.021941545,319.0,319,319,3.1,3.1,3.1,29.1,10.42982107,1.8,319.0,3,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
1995.0,125,130.0,1.04,770.0,770,770,6.2,6.2,5.9,24.0,10.42982107,6.0,770.0,3,1,9.761262136000001,60.0,14.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
2006.0,194,194.0,1.021941545,4080.0,4080,4080,21.0,21.0,21.0,20.6,4.0,12.0,0.0,4,1,4.0,166.04545,341.22151030000003,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
2004.0,88,71.0,0.81,2570.0,2570,2570,29.2,29.2,36.2,56.8,1.6,7.0,416.0,5,1,8.0,0.0,88.0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
2003.0,678,678.0,1.021941545,46461.0,46787,46787,68.5,69.0,69.0,14.7,3.1,14.5,0.0,10,4,15.0,678.0,678.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1
1999.0,166,186.0,1.12,1550.0,1550,1550,9.3,9.3,8.3,0.0,10.42982107,6.0,1550.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
1994.0,17,17.0,1.021941545,762.0,762,762,44.8,44.8,44.8,0.0,0.5,11.0,0.0,0,1,3.0,12.0,17.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
1997.0,264,282.0,1.07,5316.463277000001,1658,1658,15.99293785,6.3,5.9,310.6,10.42982107,4.0,2853.3091719999998,82,4,9.761262136000001,0.0,264.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1992.0,2046,2087.0,1.02,17200.0,22500,22500,8.4,11.0,10.8,73.8,8.7,9.0,17200.0,151,4,26.0,862.0,2046.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
1995.0,901,901.0,1.0,19070.0,19070,19070,21.2,21.2,21.2,316.3,3.8,20.0,320.0,285,1,12.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
1997.0,253,253.0,1.0,6232.0,6924,6232,24.6,27.4,24.6,11.9,4.5,8.0,4890.0,3,1,7.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1996.0,53,49.0,0.92,512.0,703,652,9.7,13.3,13.3,0.0,6.6,4.0,0.0,0,2,2.0,48.0,53.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
2000.0,626,814.0,1.3,6685.0,6685,6685,10.7,10.7,8.2,0.0,10.42982107,12.0,6685.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
2004.0,192,192.0,1.021941545,1589.0,1640,1338,8.3,8.5,7.0,0.0,10.42982107,8.957260274,2853.3091719999998,0,4,6.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
1995.0,418,439.0,1.04,3630.0,3630,3630,8.7,8.7,8.3,2.4,10.42982107,7.0,3630.0,1,1,9.761262136000001,82.0,105.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1999.0,49,45.0,0.92,284.0,316,284,5.8,6.4,6.3,20.4,3.5,7.0,172.0,1,1,2.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2004.0,33,33.0,1.021941545,366.0,366,366,11.1,11.1,11.1,30.3,10.42982107,2.1,366.0,1,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
2006.0,401,401.0,1.0,3558.0,3558,3558,8.9,8.9,8.9,39.9,5.6,9.0,3558.0,16,1,8.0,211.0,95.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
2000.0,214,214.0,1.021941545,1167.0,1823,1167,5.5,8.5,5.5,0.0,10.42982107,3.0,1167.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
2004.0,347,347.0,1.021941545,994.0,1028,1028,2.9,3.0,3.0,0.0,10.42982107,1.7,2853.3091719999998,0,4,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
2007.0,146,146.0,1.0,2982.0,2982,2982,20.4,20.4,20.4,47.9,2.9,10.0,2982.0,7,1,5.0,74.0,43.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
1993.0,4943,5684.0,1.15,23349.0,23349,21014,4.7,4.7,3.7,2.2,16.7,37.0,0.0,11,1,8.0,2221.0,4943.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
2007.0,883,883.0,1.0,10004.0,10004,10004,11.3,11.3,11.3,4.5,9.7,13.0,10004.0,4,1,7.0,452.0,848.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
2006.0,44,44.0,1.0,934.0,934,934,21.2,21.2,21.2,68.2,1.8,6.0,934.0,3,1,4.0,21.0,32.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
2005.0,579,579.0,1.021941545,21700.0,21700,21700,37.5,37.5,37.5,34.5,1.0,24.0,21700.0,20,1,25.0,166.04545,146.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
1999.0,508,508.0,1.0,2377.0,2377,2211,4.7,4.7,4.4,0.0,6.0,14.0,0.0,0,1,6.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
2000.0,67,67.0,1.021941545,213.0,333,213,3.2,5.0,3.2,0.0,10.42982107,1.0,213.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1
1998.0,316,351.0,1.11,5023.0,5581,5023,15.9,17.7,14.3,3.2,3.0,13.0,3445.0,1,1,8.0,166.04545,341.22151030000003,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
2004.0,15,15.0,1.021941545,66.0,66,66,4.4,4.4,4.4,0.0,10.42982107,0.7,66.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1
2001.0,143,143.0,1.021941545,210.0,210,210,1.5,1.5,1.5,7.0,71.5,2.0,210.0,1,4,1.0,143.0,143.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
2005.0,175,210.0,1.2,1782.0,1782,499,10.2,10.2,2.4,5.7,10.42982107,7.0,0.0,1,1,9.761262136000001,124.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1999.0,299,245.0,0.82,470.0,870,470,1.6,2.9,1.9,36.8,10.42982107,13.0,470.0,11,1,9.761262136000001,88.0,299.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1997.0,915,915.0,1.0,1392.0,1392,1295,1.5,1.5,1.4,7.7,57.2,4.0,0.0,7,1,4.0,166.04545,341.22151030000003,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
1998.0,73,73.0,1.021941545,1866.0,1866,1194,25.6,25.6,16.4,0.0,10.42982107,1.5,1194.0,0,1,9.761262136000001,166.04545,341.22151030000003,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
2004.0,472,472.0,1.021941545,2783.0,2783,2783,5.9,5.9,5.9,2.1,6.6,18.0,2783.0,1,1,4.0,82.0,472.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1
